iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
BHR,Asia,Bahrain,2021-04-01,145380,523,85438.089,307.361,3581161,2104.606,775196,517603,257593,45.56,30.42,15.14,1701583,32.4,43290.705,0.852,42,Pfizer BioNTech - Comirnaty
BHR,Asia,Bahrain,2021-04-01,145380,523,85438.089,307.361,3581161,2104.606,775196,517603,257593,45.56,30.42,15.14,1701583,32.4,43290.705,0.852,42,Beijing CNBG - Inactivated
BHR,Asia,Bahrain,2021-04-01,145380,523,85438.089,307.361,3581161,2104.606,775196,517603,257593,45.56,30.42,15.14,1701583,32.4,43290.705,0.852,42,Gamaleya - Sputnik V
BGD,Asia,Bangladesh,2021-04-01,617764,9105,3751.086,55.286,4698340,28.528,5412691,5412691,0,3.29,3.29,0,164689383,27.5,3523.984,0.632,26,Pfizer BioNTech - Comirnaty
BGD,Asia,Bangladesh,2021-04-01,617764,9105,3751.086,55.286,4698340,28.528,5412691,5412691,0,3.29,3.29,0,164689383,27.5,3523.984,0.632,26,SII - Covishield
BRB,North America,Barbados,2021-04-01,3659,42,12732.67,146.153,0,0,63735,63735,0,22.18,22.18,0,287371,39.8,16978.068,0.814,64,AstraZeneca - AZD1222
BRB,North America,Barbados,2021-04-01,3659,42,12732.67,146.153,0,0,63735,63735,0,22.18,22.18,0,287371,39.8,16978.068,0.814,64,SII - Covishield
BLR,Europe,Belarus,2021-04-01,323043,2257,34186.901,238.853,5388505,570.253,0,0,0,0,0,0,9449321,40.3,17167.967,0.823,47,Gamaleya - Sputnik V
BEL,Europe,Belgium,2021-04-01,887920,23045,76613.41,1988.418,11304107,975.365,2037445,1469624,567821,17.58,12.68,4.9,11589616,41.8,42658.576,0.931,76,AstraZeneca - AZD1222
BEL,Europe,Belgium,2021-04-01,887920,23045,76613.41,1988.418,11304107,975.365,2037445,1469624,567821,17.58,12.68,4.9,11589616,41.8,42658.576,0.931,76,Janssen - Ad26.COV 2.5
